iter	Passed	Remaining
285	48018	119877
286	48187	119712
287	48351	119535
288	48526	119386
289	48690	119207
290	48853	119029
291	49029	118880
292	49203	118725
293	49377	118573
294	49546	118406
295	49722	118259
296	49894	118100
297	50067	117943
298	50236	117777
299	50408	117620
300	50575	117449
301	50745	117285
302	50908	117107
303	51080	116946
304	51254	116793
305	51422	116624
306	51593	116464
307	51765	116303
308	51942	116156
309	52120	116010
310	52289	115843
311	52453	115667
312	52617	115489
313	52780	115311
314	52946	115136
315	53109	114958
316	53275	114786
317	53442	114616
318	53609	114445
319	53779	114281
320	53948	114114
321	54123	113961
322	54303	113818
323	54468	113645
324	54634	113471
325	54819	113339
326	54995	113185
327	55169	113030
328	55339	112865
329	55517	112717
330	55696	112571
331	55878	112429
332	56055	112278
333	56234	112132
334	56410	111978
335	56584	111821
336	56761	111670
337	56954	111549
338	57133	111401
339	57309	111248
340	57485	111094
341	57666	110949
342	57844	110797
343	58019	110641
344	58201	110498
345	58378	110345
346	58550	110183
347	58724	110023
348	58911	109889
349	59083	109725
350	59253	109559
351	59417	109382
352	59583	109207
353	59748	109032
354	59913	108856
355	60077	108678
356	60239	108498
357	60405	108324
358	60573	108154
359	60749	107999
360	60913	107822
361	61075	107640
362	61241	107468
363	61413	107304
364	61583	107137
365	61747	106961
366	61926	106811
367	62094	106639
368	62258	106463
369	62423	106289
370	62589	106115
371	62758	105946
372	62924	105774
373	63092	105604
374	63257	105428
375	63421	105252
376	63623	105138
377	63790	104967
378	63954	104790
379	64114	104607
380	64273	104422
381	64441	104252
382	64610	104084
383	64780	103918
384	64960	103767
385	65141	103619
386	65353	103518
387	65524	103353
388	65690	103179
389	65858	103010
390	66032	102849
391	66201	102680
392	66386	102535
393	66552	102363
394	66716	102186
395	66883	102013
396	67050	101842
397	67216	101669
398	67382	101495
399	67561	101342
400	67734	101178
401	67897	101001
402	68084	100858
403	68252	100688
404	68420	100518
405	68587	100347
406	68751	100171
407	68928	100014
408	69096	99842
409	69265	99674
410	69453	99532
411	69647	99399
412	69824	99241
413	69996	99077
414	70161	98902
415	70330	98733
416	70508	98575
417	70691	98426
418	70859	98256
419	71044	98108
420	71212	97937
421	71375	97760
422	71542	97588
423	71704	97409
424	71869	97234
425	72037	97064
426	72210	96900
427	72376	96726
428	72541	96553
429	72707	96379
430	72871	96204
431	73037	96031
432	73203	95857
433	73362	95675
434	73525	95498
435	73700	95337
436	73867	95166
437	74038	94998
438	74202	94823
439	74365	94646
440	74540	94485
441	74707	94313
442	74872	94140
443	75047	93978
444	75213	93805
445	75387	93642
446	75579	93501
447	75747	93331
448	75912	93157
449	76074	92980
450	76236	92802
451	76397	92623
452	76567	92455
453	76754	92308
454	76938	92157
455	77113	91994
456	77278	91820
457	77450	91655
458	77612	91478
459	77776	91303
460	77957	91147
461	78127	90979
462	78288	90801
463	78459	90634
464	78623	90459
465	78787	90284
466	78964	90124
467	79132	89954
468	79303	89786
469	79465	89610
470	79636	89443
471	79815	89284
472	80002	89136
473	80201	88999
474	80366	88826
475	80524	88645
476	80692	88473
477	80857	88300
478	81032	88137
479	81208	87975
480	81373	87802
481	81537	87627
482	81721	87474
483	81910	87326
484	82097	87175
485	82258	86997
486	82422	86822
487	82593	86655
488	82764	86488
489	82945	86331
490	83106	86153
491	83267	85975
492	83432	85802
493	83598	85629
494	83765	85457
495	83937	85291
496	84106	85121
497	84267	84944
498	84430	84768
499	84594	84594
500	84758	84419
501	84925	84249
502	85097	84082
503	85261	83908
504	85424	83732
505	85587	83557
506	85753	83385
507	85930	83223
508	86094	83050
509	86260	82877
510	86428	82707
511	86594	82535
512	86756	82359
513	86928	82192
514	87101	82027
515	87268	81856
516	87444	81694
517	87606	81517
518	87772	81345
519	87934	81169
520	88101	80999
521	88264	80824
522	88426	80648
523	88594	80479
524	88760	80307
525	88923	80132
526	89088	79959
527	89250	79784
528	89416	79613
529	89577	79436
530	89739	79261
531	89906	79090
532	90077	78923
533	90243	78751
534	90409	78579
535	90572	78405
536	90731	78228
537	90906	78064
538	91078	77898
539	91244	77726
540	91413	77557
541	91578	77385
542	91743	77213
543	91919	77050
544	92100	76891
545	92264	76717
546	92430	76546
547	92596	76375
548	92759	76201
549	92926	76031
550	93091	75858
551	93265	75693
552	93429	75520
553	93593	75347
554	93756	75173
555	93917	74999
556	94081	74825
557	94246	74653
558	94407	74479
559	94572	74306
560	94734	74133
561	94898	73960
562	95116	73829
563	95279	73655
564	95440	73480
565	95611	73313
566	95777	73142
567	95946	72973
568	96108	72798
569	96273	72627
570	96432	72450
571	96598	72280
572	96758	72104
573	96924	71933
574	97097	71767
575	97263	71596
576	97427	71424
577	97594	71254
578	97757	71081
579	97925	70911
580	98103	70749
581	98262	70573
582	98426	70401
583	98591	70229
584	98753	70055
585	98920	69886
586	99101	69725
587	99269	69556
588	99433	69383
589	99594	69209
590	99756	69036
591	99921	68865
592	100087	68693
593	100256	68525
594	100420	68353
595	100588	68184
596	100752	68011
597	100920	67843
598	101097	67679
599	101264	67509
600	101426	67336
601	101587	67162
602	101750	66989
603	101916	66819
604	102085	66650
605	102253	66481
606	102425	66314
607	102594	66146
608	102767	65980
609	102935	65811
610	103102	65641
611	103265	65468
612	103437	65302
613	103598	65128
614	103762	64956
615	103927	64785
616	104114	64628
617	104280	64458
618	104443	64285
619	104609	64115
620	104778	63947
621	104954	63782
622	105125	63615
623	105292	63445
624	105464	63278
625	105631	63109
626	105797	62938
627	105965	62769
628	106144	62606
629	106317	62440
630	106482	62269
631	106649	62099
632	106813	61928
633	106981	61759
634	107150	61590
635	107322	61423
636	107486	61252
637	107652	61081
638	107814	60909
639	107985	60741
640	108152	60571
641	108314	60399
642	108479	60228
643	108644	60058
644	108810	59887
645	108977	59718
646	109156	59555
647	109326	59387
648	109497	59219
649	109669	59052
650	109841	58885
651	110012	58718
652	110192	58555
653	110366	58389
654	110529	58217
655	110691	58045
656	110855	57874
657	111019	57702
658	111198	57539
659	111377	57376
660	111542	57205
661	111708	57035
662	111873	56864
663	112039	56694
664	112201	56522
665	112363	56350
666	112530	56180
667	112690	56007
668	112856	55838
669	113019	55666
670	113197	55502
671	113375	55338
672	113543	55169
673	113705	54996
674	113874	54828
675	114043	54660
676	114211	54490
677	114386	54325
678	114553	54155
679	114716	53984
680	114886	53816
681	115053	53646
682	115226	53480
683	115397	53312
684	115567	53144
685	115731	52973
686	115897	52803
687	116070	52636
688	116230	52464
689	116399	52295
690	116567	52126
691	116742	51960
692	116915	51793
693	117082	51624
694	117253	51456
695	117420	51287
696	117589	51118
697	117753	50947
698	117922	50779
699	118085	50607
700	118256	50440
701	118422	50270
702	118585	50099
703	118750	49929
704	118917	49759
705	119087	49591
706	119253	49421
707	119421	49252
708	119587	49083
709	119747	48910
710	119909	48739
711	120078	48571
712	120254	48405
713	120419	48235
714	120582	48064
715	120746	47893
716	120918	47726
717	121093	47560
718	121287	47401
719	121460	47234
720	121635	47068
721	121807	46900
722	121969	46729
723	122158	46568
724	122349	46408
725	122520	46240
726	122684	46069
727	122846	45898
728	123008	45727
729	123179	45559
730	123341	45388
731	123503	45217
732	123667	45046
733	123834	44877
734	123997	44706
735	124170	44539
736	124340	44371
737	124507	44201
738	124668	44030
739	124832	43860
740	124995	43689
741	125161	43519
742	125329	43350
743	125494	43180
744	125662	43011
745	125829	42842
746	126001	42675
747	126168	42505
748	126332	42335
749	126497	42165
750	126657	41994
751	126846	41832
752	127075	41683
753	127264	41521
754	127430	41351
755	127593	41180
756	127757	41010
757	127921	40840
758	128087	40670
759	128264	40504
760	128430	40334
761	128593	40164
762	128759	39994
763	128923	39824
764	129088	39654
765	129264	39488
766	129429	39318
767	129590	39146
768	129755	38977
769	129918	38806
770	130081	38636
771	130243	38465
772	130407	38295
773	130581	38128
774	130742	37957
775	130908	37788
776	131072	37618
777	131233	37446
778	131396	37276
779	131560	37106
780	131726	36937
781	131892	36767
782	132058	36598
783	132232	36431
784	132404	36263
785	132568	36093
786	132731	35923
787	132908	35757
788	133075	35588
789	133247	35420
790	133419	35252
791	133581	35082
792	133747	34912
793	133911	34742
794	134078	34573
795	134246	34404
796	134409	34234
797	134571	34064
798	134736	33894
799	134899	33724
800	135065	33555
801	135233	33386
802	135400	33217
803	135567	33048
804	135729	32878
805	135893	32708
806	136054	32538
807	136226	32370
808	136400	32203
809	136564	32033
810	136735	31865
811	136894	31694
812	137061	31525
813	137226	31356
814	137394	31187
815	137566	31019
816	137734	30851
817	137897	30681
818	138057	30510
819	138222	30341
820	138391	30173
821	138551	30002
822	138718	29833
823	138887	29665
824	139054	29496
825	139219	29327
826	139387	29158
827	139550	28988
828	139722	28820
829	139891	28652
830	140058	28483
831	140231	28315
832	140406	28148
833	140570	27979
834	140740	27811
835	140901	27640
836	141063	27471
837	141228	27301
838	141393	27132
839	141558	26963
840	141722	26794
841	141883	26624
842	142043	26454
843	142208	26284
844	142373	26115
845	142535	25946
846	142696	25776
847	142858	25606
848	143021	25437
849	143186	25268
850	143359	25100
851	143526	24931
852	143693	24763
853	143857	24593
854	144021	24424
855	144180	24254
856	144343	24085
857	144513	23917
858	144681	23748
859	144846	23579
860	145003	23409
861	145165	23240
862	145339	23072
863	145506	22903
864	145670	22734
865	145835	22565
866	145998	22396
867	146163	22227
868	146326	22058
869	146490	21889
870	146655	21720
871	146828	21552
872	146995	21384
873	147157	21214
874	147329	21047
875	147506	20879
876	147668	20710
877	147835	20542
878	148002	20373
879	148165	20204
880	148332	20035
881	148494	19866
882	148664	19698
883	148836	19530
884	149010	19362
885	149197	19197
886	149396	19032
887	149599	18868
888	149796	18703
889	149977	18536
890	150147	18368
891	150319	18200
892	150496	18032
893	150680	17865
894	150859	17698
895	151030	17530
896	151193	17361
897	151374	17193
898	151570	17028
899	151735	16859
900	151909	16691
901	152076	16522
902	152253	16355
903	152421	16186
904	152599	16018
905	152763	15849
906	152923	15680
907	153090	15511
908	153247	15341
909	153423	15173
910	153595	15005
911	153776	14838
912	153986	14673
913	154153	14504
914	154320	14335
915	154493	14167
916	154654	13998
917	154812	13828
918	154970	13658
919	155126	13489
920	155283	13319
921	155441	13150
922	155599	12980
923	155772	12812
924	155939	12643
925	156098	12474
926	156268	12305
927	156432	12136
928	156595	11968
929	156753	11798
930	156912	11629
931	157067	11459
932	157223	11290
933	157379	11121
934	157533	10951
935	157685	10781
936	157844	10612
937	158004	10443
938	158161	10274
939	158324	10105
940	158498	9937
941	158663	9769
942	158838	9601
943	158996	9431
944	159150	9262
945	159311	9093
946	159480	8925
947	159636	8756
948	159794	8587
949	159955	8418
950	160112	8249
951	160269	8080
952	160424	7911
953	160585	7743
954	160754	7574
955	160941	7407
956	161099	7238
957	161275	7070
958	161452	6902
959	161630	6734
960	161790	6565
961	161952	6397
962	162117	6228
963	162271	6059
964	162431	5891
965	162598	5722
966	162795	5555
967	162956	5386
968	163127	5218
969	163287	5050
970	163465	4882
971	163631	4713
972	163794	4545
973	163968	4376
974	164134	4208
975	164294	4040
976	164459	3871
977	164619	3703
978	164775	3534
979	164931	3365
980	165094	3197
981	165248	3028
982	165408	2860
983	165569	2692
984	165727	2523
985	165883	2355
986	166040	2186
987	166195	2018
988	166369	1850
989	166529	1682
990	166682	1513
991	166839	1345
992	167011	1177
993	167174	1009
994	167348	840
995	167544	672
996	167722	504
997	167894	336
998	168057	168
999	168215	0
